شکل فضای حالت: (6,)
اندازه فضای عمل: 20
تعداد PRV ها: 1
نام PRV ها: ['PRV1']
مقادیر مجاز PRV: [10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]
تعداد گره های تقاضا (Junctions): 6
شروع آموزش برای 50000 گام زمانی...
گام 11808/50000, اپیزود 164, پاداش اپیزود: -72000.00, اپسیلون: 0.3080
گام 11880/50000, اپیزود 165, پاداش اپیزود: -72000.00, اپسیلون: 0.3058
گام 11952/50000, اپیزود 166, پاداش اپیزود: -72000.00, اپسیلون: 0.3036
گام 12024/50000, اپیزود 167, پاداش اپیزود: -72000.00, اپسیلون: 0.3014
گام 12096/50000, اپیزود 168, پاداش اپیزود: -72000.00, اپسیلون: 0.2992
گام 12168/50000, اپیزود 169, پاداش اپیزود: -72000.00, اپسیلون: 0.2971
گام 12240/50000, اپیزود 170, پاداش اپیزود: -72000.00, اپسیلون: 0.2949
گام 12312/50000, اپیزود 171, پاداش اپیزود: -72000.00, اپسیلون: 0.2928
گام 12384/50000, اپیزود 172, پاداش اپیزود: -72000.00, اپسیلون: 0.2907
گام 12456/50000, اپیزود 173, پاداش اپیزود: -72000.00, اپسیلون: 0.2886
گام 12528/50000, اپیزود 174, پاداش اپیزود: -72000.00, اپسیلون: 0.2866
گام 12600/50000, اپیزود 175, پاداش اپیزود: -72000.00, اپسیلون: 0.2845
گام 12672/50000, اپیزود 176, پاداش اپیزود: -72000.00, اپسیلون: 0.2825
گام 12744/50000, اپیزود 177, پاداش اپیزود: -72000.00, اپسیلون: 0.2804
گام 12816/50000, اپیزود 178, پاداش اپیزود: -72000.00, اپسیلون: 0.2784
گام 12888/50000, اپیزود 179, پاداش اپیزود: -72000.00, اپسیلون: 0.2764
گام 12960/50000, اپیزود 180, پاداش اپیزود: -72000.00, اپسیلون: 0.2745
گام 13032/50000, اپیزود 181, پاداش اپیزود: -72000.00, اپسیلون: 0.2725
گام 13104/50000, اپیزود 182, پاداش اپیزود: -72000.00, اپسیلون: 0.2705
گام 13176/50000, اپیزود 183, پاداش اپیزود: -72000.00, اپسیلون: 0.2686
گام 13248/50000, اپیزود 184, پاداش اپیزود: -72000.00, اپسیلون: 0.2667
گام 13320/50000, اپیزود 185, پاداش اپیزود: -72000.00, اپسیلون: 0.2648
گام 13392/50000, اپیزود 186, پاداش اپیزود: -72000.00, اپسیلون: 0.2629
گام 13464/50000, اپیزود 187, پاداش اپیزود: -72000.00, اپسیلون: 0.2610
گام 13536/50000, اپیزود 188, پاداش اپیزود: -72000.00, اپسیلون: 0.2591
گام 13608/50000, اپیزود 189, پاداش اپیزود: -72000.00, اپسیلون: 0.2572
گام 13680/50000, اپیزود 190, پاداش اپیزود: -72000.00, اپسیلون: 0.2554
گام 13752/50000, اپیزود 191, پاداش اپیزود: -72000.00, اپسیلون: 0.2536
گام 13824/50000, اپیزود 192, پاداش اپیزود: -72000.00, اپسیلون: 0.2517
گام 13896/50000, اپیزود 193, پاداش اپیزود: -72000.00, اپسیلون: 0.2499
گام 13968/50000, اپیزود 194, پاداش اپیزود: -72000.00, اپسیلون: 0.2481
گام 14040/50000, اپیزود 195, پاداش اپیزود: -72000.00, اپسیلون: 0.2464
گام 14112/50000, اپیزود 196, پاداش اپیزود: -72000.00, اپسیلون: 0.2446
گام 14184/50000, اپیزود 197, پاداش اپیزود: -72000.00, اپسیلون: 0.2428
گام 14256/50000, اپیزود 198, پاداش اپیزود: -72000.00, اپسیلون: 0.2411
گام 14328/50000, اپیزود 199, پاداش اپیزود: -72000.00, اپسیلون: 0.2394
گام 14400/50000, اپیزود 200, پاداش اپیزود: -72000.00, اپسیلون: 0.2376
گام 14472/50000, اپیزود 201, پاداش اپیزود: -72000.00, اپسیلون: 0.2359
گام 14544/50000, اپیزود 202, پاداش اپیزود: -72000.00, اپسیلون: 0.2342
گام 14616/50000, اپیزود 203, پاداش اپیزود: -72000.00, اپسیلون: 0.2326
گام 14688/50000, اپیزود 204, پاداش اپیزود: -72000.00, اپسیلون: 0.2309
گام 14760/50000, اپیزود 205, پاداش اپیزود: -72000.00, اپسیلون: 0.2292
گام 14832/50000, اپیزود 206, پاداش اپیزود: -72000.00, اپسیلون: 0.2276
